alpha,epsilon,gamma,episodes,return,stdev
0.1,0.01,0.75,1,0.8789524,1.131039
0.1,0.01,0.75,25,0.6607247,1.226294
0.1,0.01,0.75,100,1.004494,1.082846
0.1,0.01,0.75,250,0.8307787,1.041592
0.2,0.01,0.75,1,0.6135884,1.121969
0.2,0.01,0.75,25,0.6443931,1.137076
0.2,0.01,0.75,100,0.99967,1.075527
0.2,0.01,0.75,250,0.8758151,0.9838428
0.3,0.01,0.75,1,0.6998619,1.179002
0.3,0.01,0.75,25,0.7384604,1.103526
0.3,0.01,0.75,100,0.8088548,1.078299
0.3,0.01,0.75,250,0.7404197,0.9902976
0.4,0.01,0.75,1,0.8015907,1.128645
0.4,0.01,0.75,25,0.9903354,1.172548
0.4,0.01,0.75,100,0.8458221,1.142194
0.4,0.01,0.75,250,0.9595371,0.9933018
0.5,0.01,0.75,1,0.9249881,1.177105
0.5,0.01,0.75,25,0.8555402,1.13847
0.5,0.01,0.75,100,0.8779198,1.017171
0.5,0.01,0.75,250,0.919787,1.067431
0.6,0.01,0.75,1,1.114624,1.150803
0.6,0.01,0.75,25,0.9568747,1.161307
0.6,0.01,0.75,100,0.8909686,1.171496
0.6,0.01,0.75,250,0.9498828,1.024637
0.7,0.01,0.75,1,0.8578466,1.093848
0.7,0.01,0.75,25,0.8950741,1.134036
0.7,0.01,0.75,100,0.9232729,1.084684
0.7,0.01,0.75,250,0.8553623,1.052925
0.8,0.01,0.75,1,0.9474353,1.148659
0.8,0.01,0.75,25,0.8566408,1.114075
0.8,0.01,0.75,100,0.9152282,1.066385
0.8,0.01,0.75,250,0.9238052,1.06076
0.9,0.01,0.75,1,0.8712893,1.070831
0.9,0.01,0.75,25,0.8290757,1.129057
0.9,0.01,0.75,100,0.8749792,1.076462
0.9,0.01,0.75,250,0.8962373,0.9900929
